Stock Code,Stock Name
553,"NANJING PANDA"
554,"HANS ENERGY"
555,"REXLOT HOLDINGS"
556,"PAN ASIA ENVIRO"
557,"CITY E-SOLUTION"
558,"LK TECH"
559,"GUOCANG GROUP"
560,"CHU KONG SHIP"
563,"SH IND URBAN"
564,"ZMJ"
565,"ART TEXTILE"
566,"HANERGY TFP"
567,"DAISHOMICROLINE"
568,"SHANDONG MOLONG"
569,"CH AUTOMATION"
570,"TRAD CHI MED"
571,"ESUN HOLDINGS"
572,"CHINA PACKAGING"
573,"TAO HEUNG HLDGS"
575,"REGENT PACIFIC"
576,"ZHEJIANGEXPRESS"
577,"LOUIS XIII H"
578,"ROSAN RES"
579,"JNCEC"
580,"SUN.KING ELEC"
581,"CHINA ORIENTAL"
582,"LANDING INTL"
583,"SCMP GROUP"
585,"IMAGI INT'L"
586,"CONCH VENTURE"
587,"HUA HAN"
588,"BEIJING N STAR"
589,"PORTS"
590,"LUK FOOK HOLD"
591,"C HIGHPRECISION"
592,"BOSSINI INT'L"
593,"SKYOCEAN INTL"
595,"AV CONCEPT HOLD"
596,"INSPUR INT'L"
598,"SINOTRANS"
599,"E. BON HOLDINGS"
600,"CHINA INFRA INV"
601,"GROUP SENSE"
602,"JIAHUA STORES H"
603,"CHINA OIL & GAS"
604,"SHENZHEN INVEST"
605,"C FIN SERVICES"
606,"CHINA AGRI"
607,"WARDERLY"
608,"HIGH FASHION"
609,"TIANDE CHEMICAL"
610,"WAI KEE HOLD"
611,"CNI 23 INT'L"
612,"CHINA INV FUND"
613,"YUGANG INT'L"
616,"EASYKNIT ENT"
617,"PALIBURG HOLD"
618,"PKU RESOURCES"
619,"SOUTH CHINA FIN"
620,"UDL HOLDINGS"
621,"TAUNG GOLD"
622,"ENERCHINA HOLD"
623,"SINOMEDIA"
625,"RREEF CCT REIT"
626,"PUBLIC FIN HOLD"
627,"U-RIGHT INT'L"
628,"SINO CREDIT"
629,"YUE DA MINING"
630,"AMCO UNITED"
631,"SANY INT'L"
632,"PEARLORIENT OIL"
633,"CH ALL ACCESS"
635,"PLAYMATES"
636,"KERRY LOG NET"
